"","series","baker","baker_last_name","baker_age","baker_occupation","hometown","signature_bake_1","signature_bake_2","signature_bake_3","signature_bake_4","signature_bake_5","signature_bake_6","signature_bake_7","signature_bake_8","signature_bake_9","signature_bake_10","show_stopper_1","show_stopper_2","show_stopper_3","show_stopper_4","show_stopper_5","show_stopper_6","show_stopper_7","show_stopper_8","show_stopper_9","show_stopper_10","technical_1","technical_2","technical_3","technical_4","technical_5","technical_6","technical_7","technical_8","technical_9","technical_10","result_1","result_2","result_3","result_4","result_5","result_6","result_7","result_8","result_9","result_10"
"103",9,"Luke","Thompson",30,"Civil servant/house and techno DJ","Sheffield",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,7,NA,NA,NA,NA,NA,NA,NA,NA,"IN","OUT",NA,NA,NA,NA,NA,NA,NA,NA
"104",9,"Manon","Lagrave",26,"Software project manager","London",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,3,8,5,4,2,4,NA,NA,"STAR BAKER","IN","IN","IN","IN","IN","IN","OUT",NA,NA
"105",9,"Rahul","Mandal",30,"Research scientist","Rotherham",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,4,4,3,3,1,5,4,2,"IN","STAR BAKER","STAR BAKER","IN","IN","IN","IN","IN","IN","WINNER"
"106",9,"Ruby","Bhogal",29,"Project manager","London",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,10,7,2,1,7,3,3,1,3,"IN","IN","IN","IN","IN","IN","IN","STAR BAKER","STAR BAKER","Runner-up"
"107",9,"Terry","Hartill",56,"Retired air steward","West Midlands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,8,1,NA,8,NA,NA,NA,NA,NA,"IN","IN","IN","[a]","OUT",NA,NA,NA,NA,NA
"108",10,"Alice","Fevronia",28,"Geography teacher","Essex",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,7,8,6,1,6,3,4,2,"IN","STAR BAKER","IN","IN","IN","IN","IN","IN","STAR BAKER","Runner-up"
"109",10,"Amelia","LeBruin",24,"Fashion designer","Halifax",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,9,11,NA,NA,NA,NA,NA,NA,NA,"IN","IN","OUT",NA,NA,NA,NA,NA,NA,NA
"110",10,"Dan","Chambers",32,"Support worker","Rotherham",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OUT",NA,NA,NA,NA,NA,NA,NA,NA,NA
"111",10,"David","Atherton",36,"International health adviser","Whitby",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,2,2,2,9,2,2,1,2,1,"IN","IN","IN","IN","IN","IN","IN","IN","IN","WINNER"
"112",10,"Helena","Garcia",40,"Online project manager","Leeds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,8,9,1,NA,NA,NA,NA,NA,"IN","IN","IN","IN","OUT",NA,NA,NA,NA,NA
"113",10,"Henry","Bird",20,"Student","Durham",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,1,3,3,4,3,5,NA,NA,"IN","IN","IN","IN","IN","IN","STAR BAKER","OUT",NA,NA
"114",10,"Jamie","Finn",20,"Part-time waiter","Surrey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,11,NA,NA,NA,NA,NA,NA,NA,NA,"IN","OUT",NA,NA,NA,NA,NA,NA,NA,NA
"115",10,"Michael","Chakraverty",26,"Theatre manager/fitness instructor","Stratford-upon-Avon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,4,6,7,8,6,5,NA,NA,NA,"IN","IN","STAR BAKER","IN","IN","IN","OUT",NA,NA,NA
"116",10,"Michelle","Evans-Fecci",35,"Print shop administrator","Tenby, Wales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,8,5,5,7,NA,NA,NA,NA,NA,"STAR BAKER","IN","IN","IN","OUT",NA,NA,NA,NA,NA
"117",10,"Phil","Thorne",56,"HGV driver","Rainham",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,3,10,6,NA,NA,NA,NA,NA,NA,"IN","IN","IN","OUT",NA,NA,NA,NA,NA,NA
"118",10,"Priya","O'Shea",34,"Marketing consultant","Leicester",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,4,10,2,7,NA,NA,NA,NA,"IN","IN","IN","IN","IN","OUT",NA,NA,NA,NA
"119",10,"Rosie","Brandreth-Poynter",28,"Veterinary surgeon","Somerset",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,9,4,5,5,1,2,1,NA,"IN","IN","IN","IN","IN","IN","IN","IN","OUT",NA
"120",10,"Steph","Blackwell",28,"Shop assistant","Chester",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,10,3,1,4,3,4,4,3,3,"IN","IN","IN","STAR BAKER","STAR BAKER","STAR BAKER","IN","STAR BAKER","IN","Runner-up"
"121",2,"Joanne",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,10,1,8,6,1,3,1,NA,NA,"IN","IN","IN","IN","IN","STAR BAKER","IN","WINNER",NA,NA
